match_id,player_slot,gold_per_min,xp_per_min,kills,deaths,assists,level,radiant_win
28,3,631,703,13,6,10,22,0
28,4,447,483,9,5,16,18,0
28,128,433,460,7,8,9,17,0
28,129,294,316,4,9,6,14,0
28,130,338,351,3,11,9,15,0
28,131,338,410,5,8,10,16,0
28,132,234,258,2,10,10,13,0
29,0,512,573,17,8,25,25,0
29,1,363,427,15,9,9,21,0
29,2,362,446,7,7,12,22,0
29,3,378,484,21,8,11,22,0
29,4,350,331,3,10,14,18,0
29,128,377,347,11,18,18,19,0
29,129,321,289,0,14,7,17,0
29,130,448,573,7,14,21,25,0
29,131,596,578,16,7,10,25,0
29,132,434,480,8,10,17,22,0
30,0,452,437,1,12,19,18,1
30,1,337,385,7,10,14,17,1
30,2,626,667,20,6,13,22,1
30,3,407,433,7,8,15,18,1
30,4,468,601,8,2,17,21,1
30,128,310,411,9,7,6,17,1
30,129,278,378,6,7,4,17,1
30,130,320,421,6,4,12,18,1
30,131,322,384,12,11,13,17,1
30,132,233,296,3,14,8,15,1
